OldMunicipality,NewMunicipality,Coords
Aa,Rennebu,"(245693, 6976374)"
Agdenes,Agdenes,"(242691, 7052350)"
Aker,Oslo,"(261502, 6649292)"
Alstahaug,Alstahaug,"(391273, 7324149)"
Alta,Alta,"(816163, 7784821)"
Alversund,Lindås,"(-31514, 6751938)"
Andebu,Andebu,"(225420, 6584068)"
Ankenes,Narvik,"(599528, 7593776)"
Aremark,Aremark,"(311439, 6569443)"
Arendal,Arendal,"(136520, 6496840)"
Asker,Asker,"(244255, 6642039)"
Askim,Askim,"(283260, 6611428)"
Askvoll,Askvoll,"(-30624, 6842173)"
Askøy,Askøy,"(-37080, 6736944)"
Aukra,Aukra,"(88232, 6988266)"
Aure,Aure,"(175771, 7031831)"
Aurland,Aurland,"(76884, 6777534)"
Aurskog,Aurskog-Høland,"(307783, 6643375)"
Austad,Lyngdal,"(33634, 6471595)"
Austevoll,Austevoll,"(-42519, 6702256)"
Austre Moland,Arendal,"(136520, 6496840)"
Austrheim,Austrheim,"(-46742, 6780720)"
Avaldsnes,Karmøy,"(-51177, 6611558)"
Bakke,Flekkefjord,"(12084, 6492155)"
Balestrand,Balestrand,"(46084, 6815438)"
Balsfjord,Balsfjord,"(667079, 7686917)"
Bamble,Bamble,"(198357, 6552083)"
Bardu,Bardu,"(634793, 7642467)"
Beiarn,Beiarn,"(481392, 7432258)"
Beitstad,Steinkjer,"(328773, 7103152)"
Berg,Berg,"(590088, 7705615)"
Bergen,Bergen,"(-31781, 6734243)"
Bindal,Bindal,"(376769, 7220816)"
Biri,Gjøvik,"(265643, 6747621)"
Birkenes,Birkenes,"(104164, 6485926)"
Bjarkøy,Harstad,"(562119, 7632709)"
Bjelland,Marnardal,"(61369, 6475127)"
Bjerkreim,Bjerkreim,"(-16912, 6533359)"
Bjugn,Bjugn,"(244202, 7081254)"
Bodin,Bodø,"(473416, 7463089)"
Bodø,Bodø,"(473416, 7463089)"
Bokn,Bokn,"(-44594, 6604924)"
Bolsøy,Molde,"(99999, 6980792)"
Borge,Vestvågøy,"(442327, 7560047)"
Borgund,Ålesund,"(44904, 6957920)"
Borre,Horten,"(243854, 6595010)"
Botne,Holmestrand,"(234820, 6603941)"
Brandbu,Gran,"(255438, 6703418)"
Brandval,Kongsvinger,"(333565, 6676514)"
Breim,Jølster,"(48556, 6855794)"
Brekke,Gulen,"(-35713, 6801489)"
Bremanger,Bremanger,"(-11114, 6886699)"
Bremsnes,Averøy,"(128114, 7012898)"
